Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,Berlin,25.6,28,8.9,0.0,Rainy
2025-01-02,Berlin,34.6,77,0.1,0.6,Cloudy
2025-01-03,Berlin,39.8,55,21.5,3.64,Windy
2025-01-04,Berlin,23.8,79,11.7,0.6,Cloudy
2025-01-05,Berlin,42.2,87,34.5,4.49,Rainy
2025-01-06,Berlin,43.4,57,20.5,0.0,Sunny
2025-01-07,Berlin,37.8,28,0.2,6.8,Stormy
2025-01-08,Berlin,10.3,76,17.1,8.12,Cloudy
2025-01-09,Berlin,10.8,37,37.7,2.52,Rainy
2025-01-10,Berlin,20.5,92,12.5,2.54,Rainy
2025-01-11,Berlin,12.1,64,21.5,12.65,Foggy
2025-01-12,Berlin,18.0,39,10.3,6.14,Cloudy
2025-01-13,Berlin,29.5,23,9.5,0.0,Partly Cloudy
2025-01-14,Berlin,23.8,25,4.0,8.94,Stormy
2025-01-15,Berlin,18.5,59,2.2,0.62,Rainy
2025-01-16,Berlin,40.4,69,5.8,1.71,Rainy
2025-01-17,Berlin,7.1,73,30.8,0.01,Foggy
2025-01-18,Berlin,30.5,90,8.1,6.28,Windy
2025-01-19,Berlin,26.3,55,7.2,0.0,Rainy
2025-01-20,Berlin,35.1,44,24.8,4.5,Cloudy
2025-01-21,Berlin,23.6,37,1.7,2.92,Cloudy
2025-01-22,Berlin,37.1,84,28.0,2.13,Rainy
2025-01-23,Berlin,21.9,86,7.7,7.48,Stormy
2025-01-24,Berlin,16.5,43,5.0,8.71,Windy
2025-01-25,Berlin,30.5,68,17.8,0.0,Partly Cloudy
2025-01-26,Berlin,14.0,54,38.1,0.0,Cloudy
2025-01-27,Berlin,11.1,21,39.8,0.0,Rainy
2025-01-28,Berlin,20.1,48,34.2,0.0,Partly Cloudy
2025-01-29,Berlin,40.0,59,17.0,0.0,Rainy
2025-01-30,Berlin,8.0,83,33.0,0.0,Rainy
2025-01-31,Berlin,6.8,36,17.4,3.81,Foggy
2025-02-01,Berlin,11.9,75,33.1,0.0,Windy
2025-02-02,Berlin,10.7,46,18.0,0.98,Sunny
2025-02-03,Berlin,22.2,41,17.9,0.0,Cloudy
2025-02-04,Berlin,34.8,88,24.6,0.0,Windy
2025-02-05,Berlin,19.4,29,16.7,0.0,Rainy
2025-02-06,Berlin,41.7,27,28.2,2.81,Stormy
2025-02-07,Berlin,6.9,27,8.0,7.42,Cloudy
2025-02-08,Berlin,42.7,43,32.8,0.0,Rainy
2025-02-09,Berlin,36.3,42,23.9,4.04,Cloudy
2025-02-10,Berlin,18.6,90,38.7,7.64,Partly Cloudy
2025-02-11,Berlin,29.7,28,31.2,1.5,Partly Cloudy
2025-02-12,Berlin,6.4,49,15.3,7.15,Rainy
2025-02-13,Berlin,19.6,90,31.9,0.0,Partly Cloudy
2025-02-14,Berlin,28.6,90,7.4,0.0,Sunny
2025-02-15,Berlin,24.7,37,4.4,0.0,Windy
2025-02-16,Berlin,14.2,46,36.9,0.0,Rainy
2025-02-17,Berlin,7.0,32,29.3,1.72,Windy
2025-02-18,Berlin,7.8,79,3.0,0.51,Cloudy
2025-02-19,Berlin,38.1,28,5.3,6.56,Cloudy
2025-02-20,Berlin,30.4,62,14.4,0.0,Windy
2025-02-21,Berlin,6.9,79,20.0,2.78,Windy
2025-02-22,Berlin,43.1,37,28.0,3.93,Foggy
2025-02-23,Berlin,29.4,34,0.2,0.0,Cloudy
2025-02-24,Berlin,41.6,40,31.5,0.0,Stormy
2025-02-25,Berlin,32.0,47,36.4,0.0,Cloudy
2025-02-26,Berlin,35.9,60,19.4,3.0,Stormy
2025-02-27,Berlin,25.9,69,1.2,4.69,Stormy
2025-02-28,Berlin,33.2,43,36.0,0.0,Windy
2025-03-01,Berlin,39.6,22,4.4,0.0,Sunny
2025-03-02,Berlin,36.6,55,2.9,4.95,Rainy
2025-03-03,Berlin,39.6,66,0.5,0.0,Stormy
2025-03-04,Berlin,26.9,95,3.6,0.81,Sunny
2025-03-05,Berlin,32.7,80,35.6,0.0,Cloudy
2025-03-06,Berlin,40.4,26,4.1,1.78,Sunny
2025-03-07,Berlin,34.6,67,26.4,9.05,Stormy
2025-03-08,Berlin,38.1,85,37.0,0.52,Windy
2025-03-09,Berlin,13.9,85,33.7,0.0,Sunny
2025-03-10,Berlin,17.7,21,15.8,8.41,Cloudy
