Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,Cairo,12.8,60,17.8,9.14,Sunny
2025-01-02,Cairo,27.7,23,30.9,0.0,Partly Cloudy
2025-01-03,Cairo,11.8,94,16.2,0.0,Stormy
2025-01-04,Cairo,24.7,21,6.6,2.17,Sunny
2025-01-05,Cairo,23.7,74,7.4,0.0,Cloudy
2025-01-06,Cairo,11.7,52,16.6,3.78,Stormy
2025-01-07,Cairo,32.1,34,35.5,0.0,Foggy
2025-01-08,Cairo,6.3,40,10.9,0.45,Rainy
2025-01-09,Cairo,19.4,54,3.6,5.54,Partly Cloudy
2025-01-10,Cairo,21.9,77,20.5,4.73,Windy
2025-01-11,Cairo,39.9,35,39.6,8.09,Partly Cloudy
2025-01-12,Cairo,7.0,36,30.5,2.93,Rainy
2025-01-13,Cairo,34.2,77,12.4,5.92,Foggy
2025-01-14,Cairo,26.8,33,5.3,0.0,Foggy
2025-01-15,Cairo,44.4,58,5.5,0.0,Cloudy
2025-01-16,Cairo,20.8,84,0.7,0.0,Cloudy
2025-01-17,Cairo,44.3,89,1.2,1.74,Partly Cloudy
2025-01-18,Cairo,40.0,72,3.4,0.0,Cloudy
2025-01-19,Cairo,12.3,49,33.6,0.52,Stormy
2025-01-20,Cairo,11.5,68,10.5,5.21,Stormy
2025-01-21,Cairo,13.2,42,9.6,0.0,Foggy
2025-01-22,Cairo,29.8,52,7.2,4.56,Rainy
2025-01-23,Cairo,34.2,22,36.1,4.51,Rainy
2025-01-24,Cairo,23.0,34,31.6,1.88,Foggy
2025-01-25,Cairo,27.4,67,23.8,0.0,Sunny
2025-01-26,Cairo,9.4,73,17.2,1.97,Cloudy
2025-01-27,Cairo,44.3,73,34.3,2.9,Foggy
2025-01-28,Cairo,19.8,35,29.5,0.0,Sunny
2025-01-29,Cairo,32.6,83,36.3,6.2,Sunny
2025-01-30,Cairo,42.7,39,13.5,0.41,Partly Cloudy
2025-01-31,Cairo,37.5,70,33.3,0.0,Cloudy
2025-02-01,Cairo,22.8,78,21.4,0.29,Foggy
2025-02-02,Cairo,19.4,90,10.8,0.0,Rainy
2025-02-03,Cairo,26.4,58,4.4,13.73,Partly Cloudy
2025-02-04,Cairo,38.8,39,30.1,4.08,Partly Cloudy
2025-02-05,Cairo,33.3,59,8.8,0.0,Sunny
2025-02-06,Cairo,28.2,55,11.8,0.0,Stormy
2025-02-07,Cairo,30.2,39,28.1,0.0,Partly Cloudy
2025-02-08,Cairo,15.2,67,33.5,1.56,Windy
2025-02-09,Cairo,5.2,43,6.4,7.58,Partly Cloudy
2025-02-10,Cairo,16.4,22,38.7,0.0,Foggy
2025-02-11,Cairo,41.1,59,17.8,8.23,Sunny
2025-02-12,Cairo,28.0,74,16.5,0.0,Sunny
2025-02-13,Cairo,31.9,26,38.0,0.0,Partly Cloudy
2025-02-14,Cairo,18.6,57,29.4,8.14,Stormy
2025-02-15,Cairo,8.8,56,31.0,0.0,Sunny
2025-02-16,Cairo,27.9,60,27.6,0.0,Partly Cloudy
2025-02-17,Cairo,26.5,65,29.7,5.51,Sunny
2025-02-18,Cairo,17.5,63,11.5,1.13,Cloudy
2025-02-19,Cairo,21.2,91,23.1,0.0,Partly Cloudy
2025-02-20,Cairo,27.7,43,3.8,0.0,Partly Cloudy
2025-02-21,Cairo,12.9,77,35.8,0.0,Cloudy
2025-02-22,Cairo,43.8,49,11.3,5.35,Rainy
2025-02-23,Cairo,42.9,21,29.1,5.33,Foggy
