Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,Dammam,30.4,33,8.6,3.14,Partly Cloudy
2025-01-02,Dammam,43.7,39,13.1,2.27,Cloudy
2025-01-03,Dammam,40.6,26,5.5,0.0,Sunny
2025-01-04,Dammam,30.2,88,21.9,9.96,Windy
2025-01-05,Dammam,38.9,69,3.8,0.0,Sunny
2025-01-06,Dammam,41.9,67,27.2,3.0,Sunny
2025-01-07,Dammam,8.8,33,4.3,0.0,Rainy
2025-01-08,Dammam,44.0,60,24.6,0.0,Rainy
2025-01-09,Dammam,13.0,40,13.2,0.0,Stormy
2025-01-10,Dammam,28.5,47,33.9,0.7,Cloudy
2025-01-11,Dammam,40.1,94,34.0,0.0,Partly Cloudy
2025-01-12,Dammam,28.9,52,13.1,1.33,Windy
2025-01-13,Dammam,37.0,40,9.2,0.0,Rainy
2025-01-14,Dammam,9.6,89,13.6,3.99,Foggy
2025-01-15,Dammam,14.9,82,13.3,6.06,Rainy
2025-01-16,Dammam,39.4,67,10.6,0.0,Sunny
2025-01-17,Dammam,13.1,86,29.2,8.95,Rainy
2025-01-18,Dammam,13.5,54,5.1,0.0,Sunny
2025-01-19,Dammam,15.2,86,24.5,0.0,Cloudy
2025-01-20,Dammam,12.5,54,6.9,3.53,Sunny
2025-01-21,Dammam,15.0,41,28.5,2.03,Stormy
2025-01-22,Dammam,15.5,47,25.6,3.47,Partly Cloudy
2025-01-23,Dammam,9.7,76,4.0,3.17,Stormy
2025-01-24,Dammam,42.2,44,8.8,0.0,Sunny
2025-01-25,Dammam,8.1,44,26.3,0.0,Stormy
2025-01-26,Dammam,16.5,93,22.4,0.0,Sunny
2025-01-27,Dammam,11.8,44,4.7,6.73,Foggy
2025-01-28,Dammam,35.4,43,5.3,8.86,Partly Cloudy
2025-01-29,Dammam,8.3,89,39.4,0.59,Rainy
2025-01-30,Dammam,43.2,84,2.8,2.18,Sunny
2025-01-31,Dammam,37.1,48,10.2,0.0,Sunny
2025-02-01,Dammam,26.9,35,39.3,0.0,Rainy
2025-02-02,Dammam,13.0,82,17.5,0.0,Windy
2025-02-03,Dammam,11.8,83,4.1,0.0,Windy
2025-02-04,Dammam,7.2,69,17.5,2.01,Foggy
2025-02-05,Dammam,42.8,48,3.0,5.2,Cloudy
2025-02-06,Dammam,18.8,61,32.3,0.0,Foggy
2025-02-07,Dammam,43.9,73,29.1,0.0,Windy
2025-02-08,Dammam,43.7,79,38.9,0.0,Foggy
2025-02-09,Dammam,33.5,70,15.4,0.0,Windy
2025-02-10,Dammam,26.8,33,21.0,11.23,Windy
2025-02-11,Dammam,33.1,88,10.4,1.88,Rainy
2025-02-12,Dammam,20.4,89,6.7,6.52,Windy
2025-02-13,Dammam,8.4,82,23.4,13.25,Stormy
2025-02-14,Dammam,31.1,64,15.0,1.3,Sunny
2025-02-15,Dammam,39.1,69,36.4,2.39,Cloudy
2025-02-16,Dammam,37.0,21,34.9,2.82,Sunny
2025-02-17,Dammam,23.3,94,17.7,4.59,Rainy
2025-02-18,Dammam,32.8,86,34.3,4.36,Cloudy
2025-02-19,Dammam,20.7,38,23.8,3.37,Partly Cloudy
2025-02-20,Dammam,32.9,30,20.4,0.0,Cloudy
2025-02-21,Dammam,5.3,91,8.1,1.1,Windy
2025-02-22,Dammam,20.2,80,29.4,0.0,Rainy
2025-02-23,Dammam,24.9,25,36.8,0.0,Windy
2025-02-24,Dammam,31.9,45,35.0,0.0,Sunny
2025-02-25,Dammam,31.2,25,22.6,5.43,Partly Cloudy
2025-02-26,Dammam,38.6,21,36.8,6.61,Rainy
2025-02-27,Dammam,20.2,60,31.5,8.83,Rainy
2025-02-28,Dammam,42.0,69,22.2,1.61,Rainy
2025-03-01,Dammam,28.4,20,30.4,7.97,Windy
2025-03-02,Dammam,19.5,41,30.4,0.0,Cloudy
2025-03-03,Dammam,43.6,52,32.8,0.0,Foggy
2025-03-04,Dammam,19.5,73,16.2,6.8,Rainy
2025-03-05,Dammam,8.2,29,33.4,3.12,Sunny
2025-03-06,Dammam,12.6,52,32.5,0.0,Cloudy
2025-03-07,Dammam,8.6,60,7.2,1.37,Sunny
2025-03-08,Dammam,6.9,24,25.3,4.77,Foggy
2025-03-09,Dammam,33.1,84,23.2,1.54,Rainy
2025-03-10,Dammam,24.9,49,12.1,8.86,Sunny
2025-03-11,Dammam,9.6,37,25.8,8.6,Windy
2025-03-12,Dammam,35.5,32,39.9,2.75,Foggy
2025-03-13,Dammam,34.7,91,11.9,0.0,Stormy
2025-03-14,Dammam,16.9,40,15.5,6.85,Stormy
2025-03-15,Dammam,20.1,45,28.5,0.0,Windy
2025-03-16,Dammam,28.8,67,26.4,3.87,Foggy
2025-03-17,Dammam,43.1,57,29.3,1.45,Sunny
2025-03-18,Dammam,9.1,82,7.9,0.0,Sunny
2025-03-19,Dammam,14.8,30,10.0,2.34,Windy
2025-03-20,Dammam,18.6,56,13.2,0.0,Rainy
2025-03-21,Dammam,13.4,75,15.8,0.0,Foggy
2025-03-22,Dammam,42.8,88,16.3,0.67,Partly Cloudy
2025-03-23,Dammam,18.9,41,26.9,0.0,Stormy
2025-03-24,Dammam,21.4,28,32.6,0.53,Sunny
2025-03-25,Dammam,21.1,37,28.5,5.42,Foggy
2025-03-26,Dammam,8.8,70,28.1,0.0,Cloudy
2025-03-27,Dammam,43.4,51,3.2,0.0,Sunny
2025-03-28,Dammam,34.0,32,38.8,0.0,Windy
2025-03-29,Dammam,25.3,41,20.4,6.37,Cloudy
2025-03-30,Dammam,33.4,21,32.5,0.0,Cloudy
2025-03-31,Dammam,23.2,77,8.7,10.28,Partly Cloudy
2025-04-01,Dammam,27.1,91,28.5,2.06,Stormy
2025-04-02,Dammam,15.9,84,38.3,8.84,Sunny
2025-04-03,Dammam,34.5,54,4.7,0.0,Foggy
2025-04-04,Dammam,39.2,81,11.6,4.53,Partly Cloudy
2025-04-05,Dammam,41.1,27,26.0,6.2,Rainy
2025-04-06,Dammam,20.0,35,4.0,0.0,Sunny
2025-04-07,Dammam,34.4,57,26.9,7.62,Sunny
2025-04-08,Dammam,16.0,35,3.7,0.0,Rainy
2025-04-09,Dammam,11.9,76,13.0,0.0,Foggy
2025-04-10,Dammam,12.5,42,29.2,0.0,Cloudy
2025-04-11,Dammam,27.5,46,2.0,0.0,Rainy
2025-04-12,Dammam,43.9,84,26.3,0.0,Stormy
2025-04-13,Dammam,42.9,38,34.2,0.0,Stormy
2025-04-14,Dammam,44.4,63,34.8,0.0,Rainy
2025-04-15,Dammam,31.9,79,10.8,2.32,Windy
2025-04-16,Dammam,15.8,38,13.8,5.72,Rainy
2025-04-17,Dammam,10.7,72,19.8,1.8,Cloudy
2025-04-18,Dammam,16.8,83,14.4,1.71,Rainy
2025-04-19,Dammam,6.7,47,21.0,1.48,Foggy
2025-04-20,Dammam,26.4,35,28.3,7.06,Rainy
2025-04-21,Dammam,42.2,39,27.5,5.52,Partly Cloudy
2025-04-22,Dammam,37.7,26,34.6,0.0,Foggy
2025-04-23,Dammam,41.2,64,36.1,9.39,Rainy
2025-04-24,Dammam,12.2,37,37.4,0.0,Windy
2025-04-25,Dammam,39.5,32,38.5,0.24,Stormy
2025-04-26,Dammam,20.1,67,34.5,7.91,Partly Cloudy
2025-04-27,Dammam,5.5,93,24.7,3.06,Sunny
2025-04-28,Dammam,32.5,46,0.4,6.89,Sunny
2025-04-29,Dammam,12.4,93,22.0,0.0,Stormy
2025-04-30,Dammam,13.1,41,9.5,0.0,Windy
2025-05-01,Dammam,40.9,60,0.2,9.74,Rainy
2025-05-02,Dammam,44.6,86,17.6,4.52,Stormy
2025-05-03,Dammam,24.6,80,27.9,0.0,Stormy
2025-05-04,Dammam,39.3,84,11.2,9.58,Partly Cloudy
2025-05-05,Dammam,18.3,86,2.6,1.51,Foggy
2025-05-06,Dammam,38.4,58,4.0,0.1,Rainy
2025-05-07,Dammam,32.8,64,9.1,8.8,Rainy
2025-05-08,Dammam,16.1,22,38.1,0.0,Sunny
2025-05-09,Dammam,17.9,85,2.1,7.59,Partly Cloudy
2025-05-10,Dammam,5.0,26,17.1,2.6,Stormy
2025-05-11,Dammam,32.2,87,1.4,12.32,Stormy
2025-05-12,Dammam,22.8,94,3.4,5.15,Foggy
