Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,Doha,28.3,32,6.8,0.0,Rainy
2025-01-02,Doha,42.7,90,39.6,2.65,Cloudy
2025-01-03,Doha,27.0,35,0.4,5.28,Cloudy
2025-01-04,Doha,8.1,24,1.5,0.0,Rainy
2025-01-05,Doha,27.0,84,11.1,0.0,Sunny
2025-01-06,Doha,21.9,79,17.3,0.87,Windy
2025-01-07,Doha,33.9,67,22.3,0.82,Rainy
2025-01-08,Doha,29.4,70,30.8,0.71,Foggy
2025-01-09,Doha,36.2,80,19.2,0.0,Cloudy
2025-01-10,Doha,27.2,89,22.9,8.97,Foggy
2025-01-11,Doha,26.3,84,11.7,0.0,Cloudy
2025-01-12,Doha,14.1,27,27.0,0.0,Cloudy
2025-01-13,Doha,20.4,44,0.7,7.34,Cloudy
2025-01-14,Doha,26.5,44,0.1,10.27,Sunny
2025-01-15,Doha,29.7,44,28.7,3.34,Foggy
2025-01-16,Doha,21.5,29,1.0,1.79,Rainy
2025-01-17,Doha,29.7,72,12.4,1.42,Windy
2025-01-18,Doha,14.2,39,13.8,3.48,Sunny
2025-01-19,Doha,42.0,77,35.8,0.67,Partly Cloudy
2025-01-20,Doha,15.6,78,18.1,0.0,Stormy
2025-01-21,Doha,44.7,22,6.6,0.85,Windy
2025-01-22,Doha,28.6,78,25.4,2.2,Stormy
2025-01-23,Doha,5.5,57,23.9,0.0,Rainy
2025-01-24,Doha,19.7,73,12.9,8.38,Stormy
2025-01-25,Doha,44.7,87,23.6,12.01,Sunny
2025-01-26,Doha,19.0,33,36.9,3.09,Sunny
2025-01-27,Doha,15.6,35,23.6,0.0,Windy
2025-01-28,Doha,10.4,65,7.5,4.07,Windy
2025-01-29,Doha,29.1,48,29.9,0.0,Stormy
2025-01-30,Doha,17.3,29,25.8,0.0,Windy
2025-01-31,Doha,38.0,23,18.6,9.89,Stormy
2025-02-01,Doha,11.3,73,0.7,6.73,Rainy
2025-02-02,Doha,21.9,33,20.5,0.0,Foggy
2025-02-03,Doha,39.5,32,7.3,0.0,Partly Cloudy
2025-02-04,Doha,19.4,65,36.0,0.41,Sunny
2025-02-05,Doha,40.2,38,31.7,0.23,Windy
2025-02-06,Doha,43.1,81,39.4,0.24,Cloudy
2025-02-07,Doha,30.8,33,16.2,0.0,Cloudy
2025-02-08,Doha,20.7,95,26.0,11.07,Stormy
2025-02-09,Doha,15.1,21,23.8,1.16,Stormy
2025-02-10,Doha,25.7,42,8.2,7.91,Rainy
2025-02-11,Doha,32.0,50,13.0,0.0,Windy
2025-02-12,Doha,12.3,77,18.9,0.0,Sunny
2025-02-13,Doha,13.7,88,5.9,4.29,Foggy
2025-02-14,Doha,44.4,92,33.6,0.28,Cloudy
2025-02-15,Doha,25.3,62,16.0,0.0,Stormy
2025-02-16,Doha,12.6,76,34.2,1.68,Sunny
2025-02-17,Doha,21.8,87,32.2,0.89,Sunny
2025-02-18,Doha,23.0,56,16.0,3.87,Stormy
2025-02-19,Doha,43.9,67,29.1,0.63,Foggy
2025-02-20,Doha,29.5,43,1.4,0.0,Sunny
2025-02-21,Doha,21.6,20,35.8,5.29,Sunny
2025-02-22,Doha,22.7,72,5.9,0.85,Sunny
2025-02-23,Doha,6.1,94,15.7,0.13,Cloudy
2025-02-24,Doha,28.2,31,26.2,3.26,Partly Cloudy
2025-02-25,Doha,35.4,61,34.4,5.59,Cloudy
2025-02-26,Doha,7.1,61,27.8,6.71,Rainy
2025-02-27,Doha,20.9,57,22.3,3.28,Partly Cloudy
2025-02-28,Doha,25.7,65,15.2,4.75,Sunny
2025-03-01,Doha,33.4,48,2.3,9.01,Foggy
2025-03-02,Doha,37.5,62,9.4,5.6,Windy
2025-03-03,Doha,16.3,56,18.7,0.0,Foggy
2025-03-04,Doha,21.9,25,31.9,0.0,Cloudy
2025-03-05,Doha,6.2,62,37.5,0.0,Sunny
2025-03-06,Doha,13.3,81,3.2,5.19,Rainy
