Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,Dubai,34.0,37,18.7,0.0,Foggy
2025-01-02,Dubai,16.0,20,12.0,0.0,Stormy
2025-01-03,Dubai,9.3,94,35.8,2.07,Rainy
2025-01-04,Dubai,37.0,41,17.2,0.0,Windy
2025-01-05,Dubai,8.0,39,35.5,4.26,Stormy
2025-01-06,Dubai,5.9,73,36.8,1.04,Sunny
2025-01-07,Dubai,17.3,87,21.5,3.9,Sunny
2025-01-08,Dubai,38.8,86,4.2,8.74,Rainy
2025-01-09,Dubai,9.2,62,5.2,11.73,Foggy
2025-01-10,Dubai,13.2,81,19.8,3.36,Sunny
2025-01-11,Dubai,35.5,24,20.2,0.0,Rainy
2025-01-12,Dubai,12.5,40,30.8,0.0,Stormy
2025-01-13,Dubai,22.5,80,11.1,0.0,Stormy
2025-01-14,Dubai,13.9,61,16.9,0.0,Cloudy
2025-01-15,Dubai,8.2,50,34.9,7.23,Rainy
2025-01-16,Dubai,35.8,92,36.1,0.0,Partly Cloudy
2025-01-17,Dubai,29.0,47,17.0,0.02,Stormy
2025-01-18,Dubai,30.1,31,4.2,0.0,Sunny
2025-01-19,Dubai,20.7,85,7.4,3.91,Rainy
2025-01-20,Dubai,11.7,29,1.3,4.49,Cloudy
2025-01-21,Dubai,14.8,33,30.1,12.42,Sunny
2025-01-22,Dubai,21.8,85,12.9,4.82,Windy
2025-01-23,Dubai,34.5,93,32.5,1.44,Stormy
2025-01-24,Dubai,29.1,34,18.4,0.0,Stormy
2025-01-25,Dubai,23.5,37,15.5,0.0,Sunny
2025-01-26,Dubai,37.2,50,18.6,9.88,Sunny
2025-01-27,Dubai,6.1,49,15.9,3.39,Partly Cloudy
2025-01-28,Dubai,21.0,26,5.9,13.08,Rainy
2025-01-29,Dubai,44.1,21,14.8,10.22,Foggy
2025-01-30,Dubai,17.6,76,1.6,5.32,Sunny
2025-01-31,Dubai,23.3,41,6.0,5.61,Foggy
2025-02-01,Dubai,9.2,61,16.5,0.0,Stormy
2025-02-02,Dubai,7.5,79,27.6,0.0,Windy
2025-02-03,Dubai,37.3,64,10.8,0.0,Windy
2025-02-04,Dubai,40.1,71,35.2,0.0,Stormy
2025-02-05,Dubai,15.4,24,40.0,0.0,Rainy
2025-02-06,Dubai,26.6,94,27.8,0.0,Foggy
2025-02-07,Dubai,29.1,71,29.7,5.86,Partly Cloudy
2025-02-08,Dubai,10.4,53,37.1,4.76,Stormy
2025-02-09,Dubai,18.2,39,13.8,0.0,Foggy
2025-02-10,Dubai,38.6,64,21.1,2.2,Stormy
2025-02-11,Dubai,5.8,85,12.0,13.87,Rainy
2025-02-12,Dubai,30.0,71,5.0,1.92,Partly Cloudy
2025-02-13,Dubai,16.9,22,28.7,0.0,Stormy
2025-02-14,Dubai,33.4,36,31.5,0.0,Windy
2025-02-15,Dubai,8.1,75,30.2,0.0,Cloudy
2025-02-16,Dubai,39.7,89,24.6,0.0,Rainy
2025-02-17,Dubai,19.4,53,32.9,7.23,Sunny
2025-02-18,Dubai,31.4,58,30.9,0.26,Partly Cloudy
2025-02-19,Dubai,10.0,86,29.5,0.0,Sunny
2025-02-20,Dubai,44.0,91,38.5,5.58,Partly Cloudy
2025-02-21,Dubai,25.6,57,12.5,3.52,Cloudy
2025-02-22,Dubai,28.8,40,12.2,5.44,Stormy
2025-02-23,Dubai,40.5,23,37.6,0.0,Windy
2025-02-24,Dubai,42.0,36,1.8,6.54,Rainy
2025-02-25,Dubai,13.6,92,7.9,3.66,Foggy
2025-02-26,Dubai,34.4,26,36.8,0.0,Windy
2025-02-27,Dubai,40.8,67,14.6,2.35,Cloudy
2025-02-28,Dubai,41.9,48,36.1,5.56,Sunny
2025-03-01,Dubai,35.2,54,17.2,0.0,Sunny
2025-03-02,Dubai,26.3,49,27.4,0.0,Cloudy
2025-03-03,Dubai,22.5,20,29.2,2.76,Windy
2025-03-04,Dubai,17.6,79,17.1,4.03,Foggy
2025-03-05,Dubai,35.9,80,32.6,0.0,Stormy
2025-03-06,Dubai,33.2,51,11.1,1.77,Foggy
2025-03-07,Dubai,32.7,77,24.7,8.84,Partly Cloudy
2025-03-08,Dubai,25.6,60,39.6,4.6,Sunny
2025-03-09,Dubai,23.5,45,7.9,10.56,Partly Cloudy
2025-03-10,Dubai,33.3,41,11.2,0.97,Windy
2025-03-11,Dubai,29.8,54,30.2,0.0,Partly Cloudy
2025-03-12,Dubai,20.7,93,30.7,1.92,Foggy
2025-03-13,Dubai,18.3,55,19.2,6.53,Foggy
2025-03-14,Dubai,29.6,77,35.5,4.98,Sunny
2025-03-15,Dubai,41.7,47,28.6,0.0,Rainy
2025-03-16,Dubai,7.7,78,24.1,6.62,Cloudy
2025-03-17,Dubai,35.5,80,16.5,3.82,Cloudy
2025-03-18,Dubai,28.7,91,1.5,15.94,Rainy
2025-03-19,Dubai,39.7,30,8.5,4.26,Rainy
2025-03-20,Dubai,40.7,74,39.7,0.0,Partly Cloudy
2025-03-21,Dubai,27.4,55,6.2,6.65,Cloudy
2025-03-22,Dubai,25.3,66,2.8,2.72,Sunny
2025-03-23,Dubai,9.3,82,39.5,0.0,Partly Cloudy
2025-03-24,Dubai,40.2,63,3.0,0.0,Partly Cloudy
2025-03-25,Dubai,5.7,20,38.7,7.01,Foggy
2025-03-26,Dubai,18.1,22,35.0,0.0,Windy
2025-03-27,Dubai,7.7,34,39.5,2.95,Partly Cloudy
2025-03-28,Dubai,20.3,56,32.1,3.14,Sunny
2025-03-29,Dubai,44.1,52,18.6,0.0,Partly Cloudy
2025-03-30,Dubai,27.2,20,14.9,6.2,Sunny
