Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,Jeddah,31.5,54,25.3,3.71,Windy
2025-01-02,Jeddah,13.7,23,19.3,11.3,Partly Cloudy
2025-01-03,Jeddah,13.0,59,23.8,11.97,Stormy
2025-01-04,Jeddah,17.4,67,0.7,11.62,Partly Cloudy
2025-01-05,Jeddah,42.8,43,29.8,3.26,Partly Cloudy
2025-01-06,Jeddah,25.4,41,22.4,6.61,Rainy
2025-01-07,Jeddah,13.1,48,21.3,4.12,Sunny
2025-01-08,Jeddah,30.4,45,20.2,9.65,Foggy
2025-01-09,Jeddah,31.5,89,4.5,0.0,Cloudy
2025-01-10,Jeddah,36.2,56,0.9,0.0,Cloudy
2025-01-11,Jeddah,20.2,58,21.0,4.09,Rainy
2025-01-12,Jeddah,13.4,79,5.1,0.61,Sunny
2025-01-13,Jeddah,22.8,60,18.8,3.3,Rainy
2025-01-14,Jeddah,17.7,92,20.6,6.2,Rainy
2025-01-15,Jeddah,24.5,40,31.5,0.0,Partly Cloudy
2025-01-16,Jeddah,38.6,74,17.4,1.19,Foggy
2025-01-17,Jeddah,23.5,91,7.4,1.43,Windy
2025-01-18,Jeddah,16.7,87,11.4,0.0,Cloudy
2025-01-19,Jeddah,43.5,60,4.0,0.58,Partly Cloudy
2025-01-20,Jeddah,44.5,78,38.9,2.3,Foggy
2025-01-21,Jeddah,23.8,94,20.3,3.45,Stormy
2025-01-22,Jeddah,7.3,60,7.1,4.65,Rainy
2025-01-23,Jeddah,28.5,78,13.0,9.14,Partly Cloudy
2025-01-24,Jeddah,39.8,22,12.7,8.09,Partly Cloudy
2025-01-25,Jeddah,7.9,79,8.9,2.28,Windy
2025-01-26,Jeddah,35.8,32,26.6,9.78,Rainy
2025-01-27,Jeddah,12.1,94,10.5,12.53,Rainy
2025-01-28,Jeddah,24.1,29,2.7,0.0,Sunny
2025-01-29,Jeddah,39.7,26,28.0,1.94,Partly Cloudy
2025-01-30,Jeddah,20.2,59,10.2,0.0,Partly Cloudy
2025-01-31,Jeddah,23.5,40,27.9,0.0,Windy
2025-02-01,Jeddah,17.9,51,23.5,0.0,Foggy
