Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,London,22.9,55,4.0,2.92,Partly Cloudy
2025-01-02,London,10.7,73,7.1,7.62,Foggy
2025-01-03,London,14.8,76,22.9,4.72,Partly Cloudy
2025-01-04,London,33.1,70,26.2,0.08,Windy
2025-01-05,London,39.0,36,19.0,11.78,Foggy
2025-01-06,London,29.5,94,28.9,0.32,Windy
2025-01-07,London,9.8,94,27.9,5.43,Windy
2025-01-08,London,35.5,70,34.7,0.0,Cloudy
2025-01-09,London,36.6,50,2.0,8.89,Rainy
2025-01-10,London,11.7,75,28.1,0.0,Partly Cloudy
2025-01-11,London,22.4,60,3.1,7.94,Stormy
2025-01-12,London,19.8,42,15.3,6.41,Rainy
2025-01-13,London,37.5,48,8.6,10.22,Sunny
2025-01-14,London,40.5,46,24.5,0.48,Cloudy
2025-01-15,London,15.4,91,29.0,5.97,Rainy
2025-01-16,London,9.7,37,26.4,3.84,Partly Cloudy
2025-01-17,London,31.8,68,22.4,0.0,Windy
2025-01-18,London,20.5,35,32.7,0.0,Foggy
2025-01-19,London,36.2,78,37.8,5.5,Sunny
2025-01-20,London,41.8,37,22.2,4.72,Foggy
2025-01-21,London,38.2,79,35.8,0.0,Windy
2025-01-22,London,25.5,87,31.7,0.0,Windy
2025-01-23,London,19.5,92,27.3,0.0,Cloudy
2025-01-24,London,20.8,24,3.6,0.0,Foggy
2025-01-25,London,41.6,78,20.6,10.52,Foggy
2025-01-26,London,38.4,59,16.6,2.5,Cloudy
2025-01-27,London,32.8,35,25.4,3.33,Rainy
2025-01-28,London,29.4,60,4.3,5.12,Partly Cloudy
2025-01-29,London,24.5,28,4.7,0.0,Foggy
2025-01-30,London,34.5,71,31.8,0.0,Cloudy
2025-01-31,London,39.5,67,20.8,0.0,Stormy
2025-02-01,London,42.0,33,29.6,0.0,Stormy
2025-02-02,London,17.6,92,18.1,0.0,Partly Cloudy
2025-02-03,London,14.2,70,39.7,0.0,Sunny
2025-02-04,London,13.6,46,24.4,6.22,Foggy
2025-02-05,London,29.7,56,10.6,0.0,Cloudy
2025-02-06,London,21.2,79,0.4,0.0,Foggy
2025-02-07,London,13.1,26,2.0,0.0,Rainy
2025-02-08,London,13.8,56,38.9,11.45,Stormy
