Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,Mumbai,19.1,62,37.7,0.0,Sunny
2025-01-02,Mumbai,8.3,77,35.9,0.0,Foggy
2025-01-03,Mumbai,11.3,48,12.9,9.02,Foggy
2025-01-04,Mumbai,30.1,39,24.3,0.0,Rainy
2025-01-05,Mumbai,43.5,62,38.6,0.0,Foggy
2025-01-06,Mumbai,8.2,58,37.1,6.37,Cloudy
2025-01-07,Mumbai,20.3,67,34.9,9.94,Partly Cloudy
2025-01-08,Mumbai,26.8,81,23.8,8.45,Cloudy
2025-01-09,Mumbai,33.3,46,38.7,8.58,Sunny
2025-01-10,Mumbai,21.8,83,18.1,3.11,Windy
2025-01-11,Mumbai,42.0,26,38.5,3.43,Partly Cloudy
2025-01-12,Mumbai,35.3,87,5.9,7.51,Stormy
2025-01-13,Mumbai,29.8,64,7.0,1.44,Partly Cloudy
2025-01-14,Mumbai,43.8,40,18.3,8.86,Rainy
2025-01-15,Mumbai,35.0,28,2.3,10.01,Stormy
2025-01-16,Mumbai,16.5,59,29.4,14.11,Rainy
2025-01-17,Mumbai,19.7,87,17.1,3.74,Sunny
2025-01-18,Mumbai,34.9,87,36.6,2.18,Rainy
2025-01-19,Mumbai,7.8,57,28.7,1.75,Stormy
2025-01-20,Mumbai,17.8,42,6.0,10.15,Windy
2025-01-21,Mumbai,18.9,47,7.0,4.01,Partly Cloudy
2025-01-22,Mumbai,7.5,57,28.4,0.0,Cloudy
2025-01-23,Mumbai,30.4,58,35.9,4.9,Partly Cloudy
2025-01-24,Mumbai,10.9,84,5.3,2.54,Foggy
2025-01-25,Mumbai,12.5,22,38.7,4.33,Cloudy
2025-01-26,Mumbai,24.3,34,4.1,3.09,Foggy
2025-01-27,Mumbai,15.3,41,21.4,1.33,Partly Cloudy
2025-01-28,Mumbai,44.4,52,5.5,0.0,Stormy
2025-01-29,Mumbai,41.0,28,14.6,1.4,Partly Cloudy
2025-01-30,Mumbai,24.5,33,34.3,13.62,Stormy
2025-01-31,Mumbai,33.0,94,10.6,0.0,Sunny
2025-02-01,Mumbai,7.1,75,29.9,0.0,Cloudy
2025-02-02,Mumbai,28.9,67,35.7,9.29,Stormy
2025-02-03,Mumbai,8.1,67,29.5,0.0,Windy
2025-02-04,Mumbai,11.3,30,26.7,0.0,Cloudy
2025-02-05,Mumbai,8.1,23,23.4,0.0,Windy
2025-02-06,Mumbai,37.9,61,35.3,0.38,Stormy
2025-02-07,Mumbai,34.7,44,8.1,5.96,Cloudy
2025-02-08,Mumbai,44.2,86,5.9,0.0,Partly Cloudy
2025-02-09,Mumbai,34.8,93,36.0,1.24,Cloudy
2025-02-10,Mumbai,12.3,34,27.2,0.0,Rainy
2025-02-11,Mumbai,37.5,24,1.1,9.94,Stormy
2025-02-12,Mumbai,14.2,49,23.2,0.16,Windy
2025-02-13,Mumbai,9.9,26,28.9,3.11,Foggy
2025-02-14,Mumbai,13.4,40,25.0,0.0,Foggy
2025-02-15,Mumbai,40.0,55,14.6,0.0,Cloudy
2025-02-16,Mumbai,9.6,74,27.3,13.24,Rainy
2025-02-17,Mumbai,21.9,53,9.3,0.0,Windy
2025-02-18,Mumbai,9.4,60,11.1,0.85,Partly Cloudy
2025-02-19,Mumbai,5.8,81,8.3,2.67,Rainy
2025-02-20,Mumbai,26.9,50,11.8,0.0,Foggy
2025-02-21,Mumbai,40.5,75,10.2,6.61,Cloudy
2025-02-22,Mumbai,15.0,66,2.2,0.0,Partly Cloudy
2025-02-23,Mumbai,28.6,46,36.3,0.98,Sunny
2025-02-24,Mumbai,30.7,72,31.1,0.0,Cloudy
2025-02-25,Mumbai,9.3,57,1.9,2.68,Windy
2025-02-26,Mumbai,40.6,72,16.8,0.0,Partly Cloudy
2025-02-27,Mumbai,6.1,32,28.8,6.09,Rainy
2025-02-28,Mumbai,10.7,44,15.8,7.82,Foggy
2025-03-01,Mumbai,15.3,70,25.3,0.0,Foggy
