Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,New York,12.3,94,14.2,3.37,Sunny
2025-01-02,New York,26.6,63,27.2,2.89,Cloudy
2025-01-03,New York,21.9,53,32.0,0.0,Foggy
2025-01-04,New York,41.9,80,14.5,1.84,Foggy
2025-01-05,New York,41.5,52,38.5,2.99,Rainy
2025-01-06,New York,40.9,27,12.5,0.0,Sunny
2025-01-07,New York,40.3,48,11.7,5.18,Partly Cloudy
2025-01-08,New York,34.7,22,35.4,9.72,Foggy
2025-01-09,New York,18.1,45,13.6,0.0,Windy
2025-01-10,New York,15.1,30,19.8,6.28,Sunny
2025-01-11,New York,13.9,48,26.5,3.77,Cloudy
2025-01-12,New York,5.8,73,19.4,7.54,Sunny
2025-01-13,New York,33.0,35,16.4,5.5,Partly Cloudy
2025-01-14,New York,20.0,38,3.2,1.17,Sunny
2025-01-15,New York,11.1,84,9.8,0.7,Rainy
2025-01-16,New York,28.3,80,28.9,2.18,Windy
2025-01-17,New York,9.4,33,12.1,5.6,Stormy
2025-01-18,New York,33.3,44,31.6,1.87,Cloudy
2025-01-19,New York,23.5,72,25.3,4.97,Windy
2025-01-20,New York,28.0,76,0.8,0.0,Cloudy
2025-01-21,New York,26.4,61,11.7,6.79,Rainy
2025-01-22,New York,5.0,22,36.6,5.45,Rainy
2025-01-23,New York,44.9,87,34.1,0.17,Partly Cloudy
2025-01-24,New York,10.8,21,38.3,2.67,Rainy
2025-01-25,New York,20.6,65,19.5,1.75,Stormy
2025-01-26,New York,33.9,28,30.1,10.9,Sunny
2025-01-27,New York,10.7,71,37.9,0.0,Stormy
2025-01-28,New York,5.3,22,32.4,0.0,Rainy
2025-01-29,New York,22.5,24,24.4,6.11,Sunny
2025-01-30,New York,29.1,68,9.2,0.0,Rainy
2025-01-31,New York,15.6,66,1.3,2.91,Windy
2025-02-01,New York,34.8,29,8.0,2.52,Rainy
2025-02-02,New York,27.2,47,8.6,0.0,Foggy
2025-02-03,New York,15.3,90,25.9,9.21,Stormy
2025-02-04,New York,21.8,35,18.5,6.69,Cloudy
2025-02-05,New York,22.2,47,14.4,0.0,Foggy
2025-02-06,New York,5.8,78,4.1,1.39,Partly Cloudy
2025-02-07,New York,17.8,71,26.5,1.24,Rainy
2025-02-08,New York,28.2,84,11.9,5.45,Cloudy
2025-02-09,New York,5.1,52,6.7,0.0,Windy
2025-02-10,New York,19.8,43,39.7,17.28,Cloudy
2025-02-11,New York,7.3,81,20.0,0.02,Windy
2025-02-12,New York,35.6,95,16.6,2.06,Partly Cloudy
2025-02-13,New York,25.7,41,30.0,0.0,Cloudy
2025-02-14,New York,32.8,52,4.4,7.13,Rainy
2025-02-15,New York,39.2,88,31.2,0.0,Rainy
2025-02-16,New York,34.3,36,9.0,7.38,Partly Cloudy
2025-02-17,New York,18.5,93,6.1,0.0,Cloudy
2025-02-18,New York,9.1,94,0.0,0.0,Stormy
2025-02-19,New York,26.3,41,0.6,0.0,Windy
2025-02-20,New York,23.8,44,1.5,9.84,Rainy
2025-02-21,New York,14.2,71,5.9,6.99,Rainy
2025-02-22,New York,24.1,64,25.3,0.0,Stormy
2025-02-23,New York,23.0,45,28.2,0.0,Windy
2025-02-24,New York,6.9,58,11.1,2.55,Windy
2025-02-25,New York,38.5,71,1.2,1.91,Stormy
2025-02-26,New York,22.5,57,12.8,2.94,Sunny
2025-02-27,New York,6.9,54,13.1,0.36,Windy
2025-02-28,New York,28.4,26,15.6,0.0,Cloudy
2025-03-01,New York,35.9,46,36.4,0.0,Windy
2025-03-02,New York,10.9,33,22.7,4.83,Cloudy
2025-03-03,New York,24.0,72,35.2,4.54,Windy
2025-03-04,New York,7.2,44,19.1,0.0,Stormy
2025-03-05,New York,40.6,59,23.5,3.14,Cloudy
2025-03-06,New York,6.8,87,36.6,0.0,Windy
2025-03-07,New York,22.7,28,27.7,0.0,Cloudy
2025-03-08,New York,7.0,91,31.5,10.67,Rainy
2025-03-09,New York,6.5,81,22.8,0.0,Stormy
2025-03-10,New York,20.5,84,1.5,1.52,Sunny
2025-03-11,New York,18.5,43,1.5,0.0,Cloudy
2025-03-12,New York,31.9,76,30.0,4.45,Rainy
2025-03-13,New York,12.4,45,4.4,5.87,Stormy
2025-03-14,New York,34.4,88,20.3,0.0,Cloudy
2025-03-15,New York,10.7,50,17.7,1.69,Partly Cloudy
2025-03-16,New York,19.5,61,35.9,0.0,Stormy
2025-03-17,New York,32.7,75,34.7,1.83,Sunny
2025-03-18,New York,35.3,78,22.5,3.8,Cloudy
2025-03-19,New York,13.7,84,21.5,0.0,Windy
2025-03-20,New York,6.6,66,12.7,2.46,Foggy
2025-03-21,New York,27.3,80,17.0,0.0,Cloudy
2025-03-22,New York,5.9,53,17.7,0.0,Cloudy
2025-03-23,New York,38.6,55,7.3,0.0,Partly Cloudy
2025-03-24,New York,37.0,38,39.5,0.0,Foggy
2025-03-25,New York,25.0,38,27.2,9.56,Partly Cloudy
2025-03-26,New York,24.7,70,28.1,5.89,Windy
2025-03-27,New York,7.3,57,31.1,0.0,Cloudy
2025-03-28,New York,22.6,79,13.1,0.0,Windy
2025-03-29,New York,37.7,60,26.6,2.15,Foggy
2025-03-30,New York,42.1,86,9.1,4.15,Cloudy
2025-03-31,New York,26.8,69,36.8,0.0,Cloudy
2025-04-01,New York,21.3,30,8.9,0.0,Partly Cloudy
2025-04-02,New York,26.3,86,27.3,0.0,Stormy
2025-04-03,New York,11.4,59,22.4,2.95,Windy
2025-04-04,New York,12.2,39,26.9,0.0,Sunny
2025-04-05,New York,12.5,48,34.1,6.04,Foggy
2025-04-06,New York,25.7,32,19.0,6.66,Rainy
2025-04-07,New York,11.5,84,23.3,2.13,Cloudy
2025-04-08,New York,36.0,87,27.0,2.3,Stormy
2025-04-09,New York,29.7,51,23.8,0.0,Partly Cloudy
2025-04-10,New York,10.6,50,37.8,3.45,Stormy
2025-04-11,New York,32.1,68,1.8,0.0,Partly Cloudy
2025-04-12,New York,15.4,43,8.7,0.0,Foggy
2025-04-13,New York,15.9,93,12.3,7.4,Stormy
2025-04-14,New York,33.5,87,26.5,9.38,Stormy
2025-04-15,New York,18.1,45,16.3,0.0,Cloudy
2025-04-16,New York,11.6,38,9.5,3.35,Rainy
2025-04-17,New York,24.3,71,0.0,0.0,Windy
2025-04-18,New York,22.2,90,3.8,6.86,Sunny
2025-04-19,New York,33.0,20,15.5,7.09,Windy
2025-04-20,New York,17.1,22,37.6,0.0,Cloudy
2025-04-21,New York,28.0,83,12.2,2.52,Rainy
2025-04-22,New York,13.5,83,33.1,9.89,Partly Cloudy
2025-04-23,New York,31.2,41,1.5,6.22,Partly Cloudy
2025-04-24,New York,25.8,42,12.0,11.47,Windy
2025-04-25,New York,32.6,73,27.3,4.24,Stormy
2025-04-26,New York,28.6,89,21.0,7.84,Foggy
2025-04-27,New York,25.2,38,1.4,10.33,Rainy
2025-04-28,New York,14.3,72,33.4,6.36,Partly Cloudy
2025-04-29,New York,15.3,28,11.2,4.95,Sunny
2025-04-30,New York,38.6,54,22.1,0.0,Cloudy
2025-05-01,New York,6.8,26,19.7,0.0,Stormy
2025-05-02,New York,11.1,79,31.1,1.73,Cloudy
2025-05-03,New York,33.6,54,5.0,3.98,Cloudy
2025-05-04,New York,29.8,25,35.9,0.0,Sunny
2025-05-05,New York,44.1,67,34.0,0.0,Sunny
2025-05-06,New York,36.0,35,2.0,3.17,Rainy
2025-05-07,New York,16.4,89,21.7,0.0,Windy
2025-05-08,New York,15.7,70,1.1,2.33,Sunny
2025-05-09,New York,25.3,44,20.2,1.89,Windy
2025-05-10,New York,10.0,79,3.6,7.38,Windy
2025-05-11,New York,34.3,81,32.9,5.22,Windy
2025-05-12,New York,32.6,32,8.5,3.46,Sunny
2025-05-13,New York,29.0,37,16.2,0.0,Rainy
2025-05-14,New York,21.6,57,15.9,4.84,Foggy
2025-05-15,New York,22.9,21,30.5,0.0,Sunny
2025-05-16,New York,27.3,55,9.4,2.57,Windy
2025-05-17,New York,8.2,77,0.6,7.4,Sunny
2025-05-18,New York,16.6,20,16.8,0.0,Cloudy
2025-05-19,New York,15.4,21,19.1,0.35,Rainy
2025-05-20,New York,36.0,76,6.3,0.0,Stormy
2025-05-21,New York,36.0,90,27.1,0.0,Windy
2025-05-22,New York,26.1,34,8.2,0.0,Partly Cloudy
2025-05-23,New York,40.3,40,23.4,4.59,Stormy
2025-05-24,New York,30.6,75,24.6,4.29,Partly Cloudy
2025-05-25,New York,44.0,84,19.5,4.29,Partly Cloudy
2025-05-26,New York,11.4,24,20.3,1.99,Sunny
2025-05-27,New York,15.8,62,10.9,5.26,Partly Cloudy
2025-05-28,New York,39.7,43,18.8,13.93,Rainy
2025-05-29,New York,16.1,67,27.1,6.74,Partly Cloudy
2025-05-30,New York,16.5,30,24.0,3.94,Stormy
2025-05-31,New York,31.6,30,6.4,0.0,Stormy
2025-06-01,New York,21.2,54,15.0,5.98,Sunny
2025-06-02,New York,22.5,93,13.9,5.24,Rainy
2025-06-03,New York,21.4,64,30.7,0.0,Rainy
