Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,Paris,34.2,24,33.8,2.77,Sunny
2025-01-02,Paris,36.2,64,14.6,3.58,Sunny
2025-01-03,Paris,7.7,32,20.9,8.54,Foggy
2025-01-04,Paris,19.1,77,17.3,8.41,Sunny
2025-01-05,Paris,16.7,49,10.4,0.0,Partly Cloudy
2025-01-06,Paris,9.2,21,24.5,2.76,Cloudy
2025-01-07,Paris,42.7,38,16.1,10.38,Partly Cloudy
2025-01-08,Paris,13.8,80,34.8,4.32,Sunny
2025-01-09,Paris,12.7,28,15.0,0.0,Foggy
2025-01-10,Paris,42.3,91,28.7,0.0,Partly Cloudy
2025-01-11,Paris,42.4,29,7.7,7.93,Stormy
2025-01-12,Paris,33.2,42,32.9,7.42,Rainy
2025-01-13,Paris,33.8,75,5.7,1.87,Stormy
2025-01-14,Paris,36.3,68,11.9,3.89,Windy
2025-01-15,Paris,33.1,21,21.6,0.0,Windy
2025-01-16,Paris,39.3,28,37.6,2.48,Rainy
2025-01-17,Paris,10.1,42,18.5,3.43,Foggy
2025-01-18,Paris,19.7,63,38.5,7.07,Stormy
2025-01-19,Paris,38.6,28,4.9,0.0,Stormy
2025-01-20,Paris,10.3,80,21.0,0.0,Foggy
2025-01-21,Paris,28.0,37,35.7,4.75,Sunny
2025-01-22,Paris,26.3,94,25.7,8.99,Windy
2025-01-23,Paris,12.3,75,26.1,4.83,Windy
2025-01-24,Paris,41.2,79,19.2,0.0,Stormy
2025-01-25,Paris,43.6,34,26.7,9.21,Foggy
2025-01-26,Paris,40.6,71,34.6,3.37,Windy
2025-01-27,Paris,35.1,79,29.2,0.0,Foggy
2025-01-28,Paris,23.3,66,8.2,4.66,Cloudy
2025-01-29,Paris,18.6,57,37.3,0.0,Stormy
2025-01-30,Paris,24.7,62,35.8,0.0,Stormy
2025-01-31,Paris,40.0,51,3.2,0.0,Windy
2025-02-01,Paris,36.6,42,11.2,17.05,Sunny
2025-02-02,Paris,33.9,47,39.7,2.63,Sunny
2025-02-03,Paris,15.8,27,20.6,4.89,Partly Cloudy
2025-02-04,Paris,14.9,34,5.8,0.0,Sunny
2025-02-05,Paris,36.8,21,7.9,0.0,Rainy
2025-02-06,Paris,43.3,69,22.8,0.0,Sunny
2025-02-07,Paris,26.7,62,10.7,6.3,Rainy
2025-02-08,Paris,43.2,92,38.3,0.34,Foggy
2025-02-09,Paris,23.1,44,1.6,0.52,Stormy
2025-02-10,Paris,13.6,38,1.2,0.76,Sunny
2025-02-11,Paris,19.2,28,15.2,6.19,Foggy
2025-02-12,Paris,18.9,58,8.8,3.43,Cloudy
2025-02-13,Paris,41.1,29,26.1,4.97,Partly Cloudy
2025-02-14,Paris,39.5,95,34.4,7.86,Stormy
2025-02-15,Paris,28.6,43,7.0,0.01,Foggy
2025-02-16,Paris,40.1,36,34.3,3.39,Windy
