Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,Riyadh,15.8,94,21.0,0.0,Cloudy
2025-01-02,Riyadh,40.7,79,35.8,1.95,Windy
2025-01-03,Riyadh,25.2,88,8.2,0.0,Windy
2025-01-04,Riyadh,14.2,45,7.3,0.89,Cloudy
2025-01-05,Riyadh,28.1,34,0.9,7.87,Partly Cloudy
2025-01-06,Riyadh,15.5,73,20.9,0.27,Foggy
2025-01-07,Riyadh,36.4,63,24.0,6.96,Windy
2025-01-08,Riyadh,40.2,75,26.4,2.15,Sunny
2025-01-09,Riyadh,42.5,92,36.5,1.46,Partly Cloudy
2025-01-10,Riyadh,32.4,44,20.4,9.12,Sunny
2025-01-11,Riyadh,27.8,81,40.0,0.0,Stormy
2025-01-12,Riyadh,5.0,92,37.9,6.73,Windy
2025-01-13,Riyadh,30.5,85,34.2,1.1,Windy
2025-01-14,Riyadh,40.2,44,32.4,0.0,Stormy
2025-01-15,Riyadh,11.8,30,11.3,1.13,Partly Cloudy
2025-01-16,Riyadh,24.7,27,30.9,6.73,Cloudy
2025-01-17,Riyadh,27.4,86,12.7,0.0,Windy
2025-01-18,Riyadh,9.7,80,18.1,8.68,Partly Cloudy
2025-01-19,Riyadh,20.1,61,13.2,6.42,Sunny
2025-01-20,Riyadh,43.5,91,39.3,3.91,Rainy
2025-01-21,Riyadh,36.3,56,5.3,3.56,Stormy
2025-01-22,Riyadh,10.5,91,0.7,2.6,Rainy
2025-01-23,Riyadh,33.9,36,20.0,0.0,Stormy
2025-01-24,Riyadh,32.0,44,14.1,3.58,Cloudy
2025-01-25,Riyadh,24.7,87,4.5,5.3,Partly Cloudy
2025-01-26,Riyadh,35.2,25,1.4,5.52,Foggy
2025-01-27,Riyadh,15.0,59,34.7,3.88,Rainy
2025-01-28,Riyadh,19.3,76,19.3,0.0,Foggy
2025-01-29,Riyadh,14.5,86,21.2,0.0,Rainy
2025-01-30,Riyadh,31.3,71,35.3,0.0,Stormy
2025-01-31,Riyadh,35.6,54,23.0,7.46,Partly Cloudy
2025-02-01,Riyadh,26.8,62,21.1,7.33,Windy
2025-02-02,Riyadh,22.1,85,22.9,0.0,Foggy
