Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,Singapore,11.9,95,5.4,2.2,Rainy
2025-01-02,Singapore,17.5,38,35.6,0.24,Rainy
2025-01-03,Singapore,35.2,70,33.1,1.72,Cloudy
2025-01-04,Singapore,44.8,66,2.9,6.38,Stormy
2025-01-05,Singapore,11.3,72,22.3,1.34,Foggy
2025-01-06,Singapore,15.3,74,16.1,1.71,Partly Cloudy
2025-01-07,Singapore,25.1,24,9.7,0.0,Stormy
2025-01-08,Singapore,24.8,94,13.3,4.01,Partly Cloudy
2025-01-09,Singapore,15.3,44,0.6,0.0,Rainy
2025-01-10,Singapore,15.6,88,18.1,0.74,Sunny
2025-01-11,Singapore,31.7,27,26.4,3.2,Stormy
2025-01-12,Singapore,27.2,65,39.8,12.26,Foggy
2025-01-13,Singapore,40.0,43,22.2,4.4,Cloudy
2025-01-14,Singapore,20.0,37,10.6,9.65,Rainy
2025-01-15,Singapore,19.2,76,10.1,3.48,Partly Cloudy
2025-01-16,Singapore,30.6,34,4.6,0.0,Rainy
2025-01-17,Singapore,20.2,67,13.9,0.41,Windy
2025-01-18,Singapore,37.6,77,23.5,0.0,Rainy
2025-01-19,Singapore,26.3,89,12.7,3.22,Windy
2025-01-20,Singapore,22.0,81,5.9,0.0,Windy
2025-01-21,Singapore,25.6,72,24.5,6.83,Windy
2025-01-22,Singapore,16.6,33,8.8,0.0,Rainy
2025-01-23,Singapore,23.3,72,6.0,8.18,Cloudy
2025-01-24,Singapore,20.0,38,5.6,7.34,Partly Cloudy
2025-01-25,Singapore,34.0,84,0.6,0.0,Sunny
2025-01-26,Singapore,8.1,72,12.3,0.0,Stormy
2025-01-27,Singapore,44.2,95,0.4,0.0,Rainy
2025-01-28,Singapore,5.2,66,4.5,8.71,Stormy
2025-01-29,Singapore,35.3,40,6.9,2.16,Stormy
2025-01-30,Singapore,9.3,74,30.5,0.0,Stormy
2025-01-31,Singapore,13.3,28,20.3,0.0,Sunny
2025-02-01,Singapore,29.3,30,27.6,9.94,Stormy
2025-02-02,Singapore,30.2,66,34.6,6.54,Rainy
2025-02-03,Singapore,5.8,74,16.9,0.66,Windy
2025-02-04,Singapore,35.5,35,17.1,0.0,Windy
2025-02-05,Singapore,5.2,42,14.3,5.92,Windy
2025-02-06,Singapore,42.9,94,28.9,0.0,Partly Cloudy
2025-02-07,Singapore,18.2,28,9.1,5.89,Rainy
2025-02-08,Singapore,33.4,53,4.2,0.0,Rainy
2025-02-09,Singapore,19.4,58,22.6,7.96,Cloudy
2025-02-10,Singapore,7.3,36,7.0,6.93,Rainy
2025-02-11,Singapore,40.2,36,23.9,7.37,Sunny
2025-02-12,Singapore,35.5,71,22.8,0.0,Windy
2025-02-13,Singapore,12.3,57,5.8,0.23,Windy
2025-02-14,Singapore,26.0,28,23.3,0.19,Windy
2025-02-15,Singapore,37.4,28,24.3,3.95,Cloudy
2025-02-16,Singapore,21.6,80,15.8,4.44,Stormy
2025-02-17,Singapore,16.7,56,4.8,0.0,Windy
2025-02-18,Singapore,21.4,83,36.8,0.0,Windy
2025-02-19,Singapore,18.0,23,33.9,0.0,Sunny
2025-02-20,Singapore,39.3,71,36.1,3.9,Partly Cloudy
2025-02-21,Singapore,7.3,31,25.1,5.38,Cloudy
2025-02-22,Singapore,40.5,62,10.1,3.89,Foggy
2025-02-23,Singapore,11.5,61,29.9,0.0,Foggy
2025-02-24,Singapore,6.3,79,21.0,15.44,Foggy
2025-02-25,Singapore,16.5,65,5.0,1.09,Partly Cloudy
2025-02-26,Singapore,36.3,20,3.1,0.1,Cloudy
2025-02-27,Singapore,43.4,86,2.4,0.0,Stormy
2025-02-28,Singapore,26.5,47,35.0,13.78,Rainy
2025-03-01,Singapore,9.2,35,38.2,0.0,Windy
2025-03-02,Singapore,26.4,31,22.6,5.84,Windy
2025-03-03,Singapore,6.8,66,18.5,0.0,Sunny
2025-03-04,Singapore,7.3,22,39.7,0.0,Foggy
2025-03-05,Singapore,8.4,23,17.8,2.08,Rainy
2025-03-06,Singapore,12.1,93,1.9,7.17,Windy
2025-03-07,Singapore,12.5,35,11.3,2.19,Sunny
2025-03-08,Singapore,26.6,39,30.0,7.76,Partly Cloudy
2025-03-09,Singapore,19.6,86,26.5,0.0,Foggy
2025-03-10,Singapore,18.2,54,23.1,0.0,Rainy
2025-03-11,Singapore,12.5,71,17.1,8.35,Partly Cloudy
2025-03-12,Singapore,16.4,51,24.8,11.58,Windy
2025-03-13,Singapore,42.5,40,33.5,0.0,Stormy
2025-03-14,Singapore,42.6,44,0.3,4.49,Rainy
2025-03-15,Singapore,15.1,39,22.5,2.44,Windy
2025-03-16,Singapore,8.4,95,4.6,0.0,Stormy
2025-03-17,Singapore,17.0,26,26.9,0.0,Rainy
2025-03-18,Singapore,8.6,66,32.7,10.0,Foggy
2025-03-19,Singapore,21.5,71,35.6,5.05,Rainy
2025-03-20,Singapore,40.9,43,7.0,1.71,Sunny
2025-03-21,Singapore,11.5,56,3.1,0.0,Sunny
2025-03-22,Singapore,22.1,44,7.9,5.31,Stormy
2025-03-23,Singapore,25.5,78,16.5,0.0,Cloudy
2025-03-24,Singapore,6.8,45,34.8,6.42,Stormy
2025-03-25,Singapore,29.0,44,32.5,0.0,Stormy
2025-03-26,Singapore,43.2,76,10.1,0.0,Windy
2025-03-27,Singapore,34.1,61,21.4,2.91,Foggy
2025-03-28,Singapore,25.1,45,8.8,1.94,Stormy
2025-03-29,Singapore,43.7,94,26.0,0.0,Rainy
2025-03-30,Singapore,11.6,70,6.2,6.64,Sunny
2025-03-31,Singapore,36.6,70,19.1,0.02,Rainy
2025-04-01,Singapore,19.2,23,3.3,1.76,Cloudy
2025-04-02,Singapore,38.3,63,26.1,11.67,Rainy
2025-04-03,Singapore,14.6,50,34.3,0.0,Partly Cloudy
2025-04-04,Singapore,14.7,33,13.7,5.43,Sunny
2025-04-05,Singapore,14.0,45,5.8,12.0,Cloudy
2025-04-06,Singapore,23.8,33,29.9,6.63,Stormy
2025-04-07,Singapore,31.3,31,10.7,9.66,Sunny
2025-04-08,Singapore,9.7,64,11.3,3.1,Windy
2025-04-09,Singapore,10.7,29,36.9,1.47,Windy
2025-04-10,Singapore,16.6,70,22.3,13.38,Partly Cloudy
2025-04-11,Singapore,32.9,66,3.7,3.68,Partly Cloudy
2025-04-12,Singapore,16.6,51,21.8,6.47,Cloudy
2025-04-13,Singapore,10.8,92,13.7,4.4,Cloudy
2025-04-14,Singapore,17.7,60,34.0,0.0,Windy
2025-04-15,Singapore,29.4,41,35.5,0.0,Partly Cloudy
2025-04-16,Singapore,23.9,76,6.4,5.57,Rainy
2025-04-17,Singapore,33.4,70,17.2,0.0,Rainy
2025-04-18,Singapore,44.1,76,24.9,0.45,Windy
2025-04-19,Singapore,11.4,39,3.9,1.8,Stormy
2025-04-20,Singapore,11.6,44,3.3,0.0,Cloudy
2025-04-21,Singapore,17.6,70,35.6,7.71,Foggy
2025-04-22,Singapore,10.8,35,14.0,4.52,Windy
2025-04-23,Singapore,11.9,34,24.6,0.0,Cloudy
2025-04-24,Singapore,31.0,86,28.2,3.08,Stormy
2025-04-25,Singapore,31.2,89,13.7,0.0,Sunny
2025-04-26,Singapore,22.1,77,5.1,2.36,Foggy
2025-04-27,Singapore,8.4,83,39.1,5.4,Rainy
2025-04-28,Singapore,36.9,87,27.8,2.23,Windy
2025-04-29,Singapore,30.3,70,29.1,0.0,Cloudy
2025-04-30,Singapore,34.8,22,6.2,0.0,Sunny
2025-05-01,Singapore,35.8,22,10.6,0.0,Windy
2025-05-02,Singapore,27.8,70,17.8,0.53,Sunny
2025-05-03,Singapore,12.1,88,3.5,1.21,Foggy
2025-05-04,Singapore,38.5,77,28.3,3.64,Windy
2025-05-05,Singapore,18.0,94,11.6,4.73,Rainy
2025-05-06,Singapore,38.2,45,10.7,6.37,Partly Cloudy
2025-05-07,Singapore,34.0,67,3.8,0.0,Partly Cloudy
2025-05-08,Singapore,16.9,89,32.4,0.0,Partly Cloudy
2025-05-09,Singapore,28.8,31,25.6,3.16,Cloudy
2025-05-10,Singapore,20.4,92,13.5,0.0,Windy
2025-05-11,Singapore,29.7,32,6.9,0.0,Foggy
2025-05-12,Singapore,20.0,90,17.1,0.0,Windy
2025-05-13,Singapore,35.9,50,20.1,0.0,Sunny
2025-05-14,Singapore,28.0,92,7.2,0.0,Rainy
2025-05-15,Singapore,13.7,50,33.4,0.0,Foggy
