Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,Sydney,10.0,65,22.6,0.0,Rainy
2025-01-02,Sydney,12.2,28,2.8,0.0,Windy
2025-01-03,Sydney,33.5,48,39.0,2.56,Windy
2025-01-04,Sydney,19.5,26,25.9,1.37,Stormy
2025-01-05,Sydney,35.9,65,34.8,6.17,Stormy
2025-01-06,Sydney,30.9,29,33.0,4.31,Windy
2025-01-07,Sydney,35.7,88,6.8,4.5,Foggy
2025-01-08,Sydney,40.9,32,26.4,0.0,Sunny
2025-01-09,Sydney,37.4,55,6.0,0.0,Cloudy
2025-01-10,Sydney,28.7,85,5.2,2.65,Partly Cloudy
2025-01-11,Sydney,6.3,68,27.9,0.0,Stormy
2025-01-12,Sydney,22.3,90,16.5,1.45,Partly Cloudy
2025-01-13,Sydney,12.8,93,4.1,5.34,Rainy
2025-01-14,Sydney,23.5,83,0.9,5.8,Windy
2025-01-15,Sydney,5.9,93,21.4,11.38,Rainy
2025-01-16,Sydney,8.0,91,16.0,0.0,Partly Cloudy
2025-01-17,Sydney,43.0,67,39.8,5.21,Partly Cloudy
2025-01-18,Sydney,15.0,31,22.6,2.78,Rainy
2025-01-19,Sydney,6.6,73,5.0,8.29,Foggy
2025-01-20,Sydney,41.4,57,19.3,2.65,Foggy
2025-01-21,Sydney,6.7,90,36.8,0.0,Rainy
2025-01-22,Sydney,6.8,26,5.6,0.0,Partly Cloudy
2025-01-23,Sydney,30.0,42,26.8,9.0,Windy
2025-01-24,Sydney,33.4,37,3.4,5.97,Stormy
2025-01-25,Sydney,10.1,64,11.2,5.42,Foggy
2025-01-26,Sydney,7.4,75,20.6,0.72,Cloudy
2025-01-27,Sydney,44.8,48,13.2,0.0,Partly Cloudy
2025-01-28,Sydney,8.4,27,1.9,0.65,Cloudy
2025-01-29,Sydney,9.4,60,1.6,0.0,Partly Cloudy
2025-01-30,Sydney,44.0,49,23.3,7.69,Sunny
2025-01-31,Sydney,34.8,36,38.4,0.26,Windy
2025-02-01,Sydney,28.4,71,38.5,5.49,Windy
2025-02-02,Sydney,34.6,85,27.4,0.75,Stormy
2025-02-03,Sydney,30.6,24,35.5,4.35,Sunny
2025-02-04,Sydney,9.8,58,16.7,0.0,Partly Cloudy
2025-02-05,Sydney,8.0,40,13.2,6.63,Sunny
2025-02-06,Sydney,41.6,68,6.8,1.39,Stormy
2025-02-07,Sydney,14.4,51,9.1,15.38,Windy
2025-02-08,Sydney,5.4,75,3.5,0.0,Partly Cloudy
2025-02-09,Sydney,43.6,44,18.3,0.0,Cloudy
2025-02-10,Sydney,38.9,38,30.1,0.0,Stormy
2025-02-11,Sydney,5.5,68,21.9,5.8,Partly Cloudy
2025-02-12,Sydney,23.3,48,37.3,5.42,Foggy
2025-02-13,Sydney,22.7,48,35.1,3.0,Foggy
2025-02-14,Sydney,26.0,22,38.7,3.97,Foggy
2025-02-15,Sydney,34.3,93,18.1,0.0,Partly Cloudy
2025-02-16,Sydney,19.6,83,13.1,3.18,Foggy
2025-02-17,Sydney,20.2,82,30.4,7.09,Stormy
2025-02-18,Sydney,9.8,80,24.6,3.78,Cloudy
2025-02-19,Sydney,10.2,62,7.6,5.33,Cloudy
2025-02-20,Sydney,25.1,70,39.6,0.0,Foggy
2025-02-21,Sydney,19.0,27,4.2,15.66,Partly Cloudy
2025-02-22,Sydney,35.9,55,18.0,5.42,Windy
2025-02-23,Sydney,5.2,26,33.1,6.83,Cloudy
2025-02-24,Sydney,11.4,70,25.1,0.0,Stormy
2025-02-25,Sydney,30.9,46,32.3,8.98,Rainy
2025-02-26,Sydney,21.0,86,13.7,0.0,Rainy
2025-02-27,Sydney,21.0,62,10.4,2.45,Rainy
2025-02-28,Sydney,30.3,54,4.8,0.0,Sunny
2025-03-01,Sydney,33.9,54,12.9,0.0,Cloudy
2025-03-02,Sydney,29.1,50,34.2,5.74,Partly Cloudy
2025-03-03,Sydney,14.3,72,31.8,17.68,Rainy
2025-03-04,Sydney,44.1,60,1.7,0.0,Sunny
2025-03-05,Sydney,25.6,62,22.3,5.4,Rainy
2025-03-06,Sydney,19.4,27,24.3,0.0,Cloudy
2025-03-07,Sydney,30.4,24,24.3,3.89,Cloudy
2025-03-08,Sydney,24.7,77,16.9,0.0,Sunny
2025-03-09,Sydney,40.8,50,16.7,8.72,Partly Cloudy
2025-03-10,Sydney,23.6,66,33.9,0.0,Rainy
2025-03-11,Sydney,15.7,51,38.1,0.14,Sunny
2025-03-12,Sydney,33.2,39,13.2,10.7,Foggy
2025-03-13,Sydney,15.8,55,35.4,0.0,Foggy
2025-03-14,Sydney,34.4,63,32.7,4.36,Partly Cloudy
2025-03-15,Sydney,44.7,41,28.9,7.69,Foggy
2025-03-16,Sydney,24.7,64,26.3,8.42,Rainy
2025-03-17,Sydney,38.8,51,34.9,0.0,Cloudy
2025-03-18,Sydney,17.1,68,37.1,0.0,Windy
2025-03-19,Sydney,16.4,53,39.7,6.78,Partly Cloudy
2025-03-20,Sydney,5.7,70,11.1,0.0,Sunny
2025-03-21,Sydney,28.7,78,28.1,3.64,Sunny
2025-03-22,Sydney,8.5,95,10.1,5.15,Rainy
2025-03-23,Sydney,30.7,32,4.0,0.0,Windy
2025-03-24,Sydney,43.1,59,21.6,8.47,Cloudy
2025-03-25,Sydney,12.4,38,12.4,0.0,Foggy
2025-03-26,Sydney,20.6,42,19.4,0.0,Sunny
2025-03-27,Sydney,35.1,94,37.4,0.0,Cloudy
2025-03-28,Sydney,9.5,91,7.3,5.96,Foggy
2025-03-29,Sydney,7.4,61,1.4,0.0,Windy
2025-03-30,Sydney,17.5,94,17.2,0.0,Partly Cloudy
2025-03-31,Sydney,32.4,66,31.6,5.53,Foggy
2025-04-01,Sydney,11.8,67,15.8,5.13,Rainy
2025-04-02,Sydney,37.7,28,21.0,0.0,Stormy
2025-04-03,Sydney,8.1,24,38.6,6.01,Cloudy
2025-04-04,Sydney,33.4,79,20.2,0.94,Foggy
2025-04-05,Sydney,5.1,68,39.9,0.0,Sunny
2025-04-06,Sydney,39.1,42,18.3,5.08,Foggy
2025-04-07,Sydney,26.4,87,21.5,3.91,Windy
2025-04-08,Sydney,22.0,56,25.3,3.07,Foggy
2025-04-09,Sydney,32.0,56,33.9,0.0,Cloudy
2025-04-10,Sydney,12.8,57,30.1,1.33,Cloudy
2025-04-11,Sydney,40.6,40,32.4,2.54,Cloudy
2025-04-12,Sydney,35.4,42,32.5,0.0,Partly Cloudy
2025-04-13,Sydney,44.4,55,38.7,0.0,Stormy
2025-04-14,Sydney,22.1,80,29.8,6.94,Partly Cloudy
2025-04-15,Sydney,12.2,48,37.4,1.38,Windy
2025-04-16,Sydney,41.2,21,20.1,5.95,Rainy
2025-04-17,Sydney,38.3,50,38.6,5.35,Stormy
2025-04-18,Sydney,30.2,58,27.2,3.07,Partly Cloudy
2025-04-19,Sydney,21.0,52,35.9,3.7,Stormy
2025-04-20,Sydney,35.3,38,28.4,1.45,Sunny
2025-04-21,Sydney,16.7,89,25.9,7.26,Stormy
2025-04-22,Sydney,33.7,20,7.2,0.0,Sunny
