Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,Tokyo,41.1,47,10.6,0.0,Foggy
2025-01-02,Tokyo,27.0,64,26.5,3.35,Rainy
2025-01-03,Tokyo,31.9,75,36.7,7.44,Sunny
2025-01-04,Tokyo,23.6,78,3.4,9.41,Cloudy
2025-01-05,Tokyo,8.2,65,11.3,0.0,Partly Cloudy
2025-01-06,Tokyo,9.3,44,13.6,6.14,Partly Cloudy
2025-01-07,Tokyo,40.1,74,30.8,8.42,Sunny
2025-01-08,Tokyo,38.3,32,1.6,0.0,Stormy
2025-01-09,Tokyo,41.5,85,25.8,0.12,Partly Cloudy
2025-01-10,Tokyo,8.5,82,29.5,0.0,Cloudy
2025-01-11,Tokyo,32.6,58,33.3,3.37,Cloudy
2025-01-12,Tokyo,23.5,24,25.6,0.52,Stormy
2025-01-13,Tokyo,34.1,29,7.3,5.62,Rainy
2025-01-14,Tokyo,31.3,86,35.1,2.07,Windy
2025-01-15,Tokyo,20.6,74,9.3,0.0,Foggy
2025-01-16,Tokyo,21.7,87,14.6,5.33,Stormy
2025-01-17,Tokyo,5.1,35,17.6,6.91,Cloudy
2025-01-18,Tokyo,42.5,44,2.3,0.03,Foggy
2025-01-19,Tokyo,34.6,94,19.4,4.44,Cloudy
2025-01-20,Tokyo,40.6,82,21.4,0.0,Partly Cloudy
2025-01-21,Tokyo,13.3,94,32.2,3.51,Rainy
2025-01-22,Tokyo,31.0,75,5.5,8.87,Rainy
2025-01-23,Tokyo,7.8,22,33.6,0.69,Rainy
2025-01-24,Tokyo,34.7,60,11.9,2.29,Windy
2025-01-25,Tokyo,25.9,40,38.5,1.72,Partly Cloudy
2025-01-26,Tokyo,25.4,88,6.9,8.71,Partly Cloudy
2025-01-27,Tokyo,25.2,66,28.3,5.46,Cloudy
2025-01-28,Tokyo,15.6,54,15.6,0.0,Partly Cloudy
2025-01-29,Tokyo,10.8,59,28.6,0.0,Windy
2025-01-30,Tokyo,22.8,67,8.4,0.0,Partly Cloudy
2025-01-31,Tokyo,32.4,57,30.0,12.45,Rainy
2025-02-01,Tokyo,38.1,68,29.8,0.33,Sunny
