Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-01,Toronto,35.4,62,11.1,15.56,Sunny
2025-01-02,Toronto,36.9,47,29.7,13.94,Cloudy
2025-01-03,Toronto,14.1,56,12.4,3.43,Foggy
2025-01-04,Toronto,7.2,58,11.5,0.0,Stormy
2025-01-05,Toronto,10.3,86,28.3,0.0,Foggy
2025-01-06,Toronto,37.9,88,0.3,9.98,Sunny
2025-01-07,Toronto,23.6,67,35.8,0.0,Partly Cloudy
2025-01-08,Toronto,18.3,45,29.2,1.47,Partly Cloudy
2025-01-09,Toronto,8.4,41,20.8,9.2,Windy
2025-01-10,Toronto,20.8,74,21.3,4.39,Rainy
2025-01-11,Toronto,29.7,52,7.9,1.11,Foggy
2025-01-12,Toronto,18.3,81,18.7,16.41,Windy
2025-01-13,Toronto,41.1,84,4.5,8.63,Foggy
2025-01-14,Toronto,26.5,43,31.7,0.0,Partly Cloudy
2025-01-15,Toronto,30.4,55,27.4,1.89,Stormy
2025-01-16,Toronto,39.7,82,24.5,0.38,Sunny
2025-01-17,Toronto,32.6,38,14.0,0.0,Rainy
2025-01-18,Toronto,40.0,24,0.9,7.09,Cloudy
2025-01-19,Toronto,26.5,54,12.1,0.0,Rainy
2025-01-20,Toronto,5.1,95,4.6,4.44,Windy
2025-01-21,Toronto,25.9,37,28.1,9.65,Rainy
2025-01-22,Toronto,40.5,51,5.3,4.21,Rainy
2025-01-23,Toronto,42.5,73,16.1,0.0,Foggy
2025-01-24,Toronto,40.6,33,12.9,0.0,Stormy
2025-01-25,Toronto,28.6,56,29.8,0.0,Partly Cloudy
2025-01-26,Toronto,12.1,69,24.5,0.0,Sunny
2025-01-27,Toronto,28.6,28,31.0,0.0,Partly Cloudy
2025-01-28,Toronto,22.3,63,35.8,0.0,Rainy
2025-01-29,Toronto,28.9,42,26.0,1.37,Partly Cloudy
2025-01-30,Toronto,39.6,60,28.2,0.0,Stormy
2025-01-31,Toronto,38.2,24,23.6,2.06,Sunny
2025-02-01,Toronto,35.1,89,31.4,2.88,Partly Cloudy
2025-02-02,Toronto,14.2,31,35.8,0.0,Stormy
2025-02-03,Toronto,39.1,45,35.3,7.08,Cloudy
2025-02-04,Toronto,33.6,29,34.4,0.0,Sunny
2025-02-05,Toronto,18.4,22,3.7,3.76,Sunny
2025-02-06,Toronto,43.7,75,7.7,2.7,Partly Cloudy
2025-02-07,Toronto,25.3,62,1.7,3.69,Windy
2025-02-08,Toronto,7.8,21,6.7,3.65,Rainy
2025-02-09,Toronto,26.9,73,31.7,1.31,Sunny
2025-02-10,Toronto,34.9,43,27.9,3.23,Cloudy
2025-02-11,Toronto,28.0,68,5.9,6.19,Partly Cloudy
2025-02-12,Toronto,29.8,67,9.0,2.22,Sunny
2025-02-13,Toronto,19.9,48,28.0,9.85,Partly Cloudy
2025-02-14,Toronto,19.1,41,24.0,1.07,Rainy
2025-02-15,Toronto,11.5,42,1.8,9.62,Cloudy
2025-02-16,Toronto,35.3,87,34.5,13.65,Stormy
2025-02-17,Toronto,21.3,50,21.7,8.18,Foggy
2025-02-18,Toronto,11.3,91,38.0,0.18,Partly Cloudy
2025-02-19,Toronto,20.9,87,26.0,0.68,Windy
2025-02-20,Toronto,13.9,66,13.7,0.0,Foggy
2025-02-21,Toronto,32.5,29,10.5,0.0,Foggy
2025-02-22,Toronto,12.3,90,5.1,0.0,Partly Cloudy
2025-02-23,Toronto,10.2,32,14.5,4.4,Rainy
2025-02-24,Toronto,26.2,45,23.5,0.0,Foggy
2025-02-25,Toronto,13.9,63,35.4,0.0,Rainy
2025-02-26,Toronto,36.7,47,10.3,4.36,Partly Cloudy
2025-02-27,Toronto,16.4,80,3.9,2.31,Cloudy
2025-02-28,Toronto,19.9,86,19.3,6.25,Foggy
2025-03-01,Toronto,36.0,41,26.1,0.06,Rainy
2025-03-02,Toronto,44.9,45,3.7,3.11,Stormy
2025-03-03,Toronto,9.7,73,35.0,3.93,Windy
2025-03-04,Toronto,5.5,26,38.7,1.01,Cloudy
2025-03-05,Toronto,12.8,72,24.1,4.36,Cloudy
2025-03-06,Toronto,40.6,27,30.8,8.37,Stormy
2025-03-07,Toronto,25.5,44,12.9,10.63,Partly Cloudy
2025-03-08,Toronto,14.4,86,13.6,5.93,Stormy
2025-03-09,Toronto,34.8,63,17.1,4.86,Foggy
2025-03-10,Toronto,35.4,87,37.1,0.0,Cloudy
2025-03-11,Toronto,44.9,74,36.0,7.32,Windy
2025-03-12,Toronto,13.4,82,31.4,0.0,Rainy
2025-03-13,Toronto,23.3,58,7.3,9.42,Rainy
2025-03-14,Toronto,43.8,32,26.7,7.72,Partly Cloudy
2025-03-15,Toronto,21.9,55,37.6,3.13,Partly Cloudy
2025-03-16,Toronto,15.8,77,17.7,14.44,Foggy
2025-03-17,Toronto,32.1,39,13.0,0.68,Partly Cloudy
2025-03-18,Toronto,5.4,48,29.7,7.7,Foggy
2025-03-19,Toronto,26.3,29,13.6,0.0,Cloudy
2025-03-20,Toronto,34.1,37,7.4,0.0,Stormy
2025-03-21,Toronto,17.3,20,31.1,3.28,Windy
2025-03-22,Toronto,12.9,92,30.0,0.0,Partly Cloudy
2025-03-23,Toronto,9.5,32,7.9,7.47,Cloudy
2025-03-24,Toronto,34.3,39,12.8,0.0,Rainy
2025-03-25,Toronto,41.4,24,24.3,3.26,Foggy
2025-03-26,Toronto,40.6,46,11.1,3.65,Sunny
2025-03-27,Toronto,18.9,41,23.7,0.0,Rainy
2025-03-28,Toronto,27.2,26,2.4,0.0,Stormy
2025-03-29,Toronto,24.8,89,1.6,0.0,Stormy
2025-03-30,Toronto,8.4,53,29.3,7.88,Rainy
2025-03-31,Toronto,41.1,46,1.9,0.0,Foggy
2025-04-01,Toronto,36.8,55,35.6,2.37,Partly Cloudy
2025-04-02,Toronto,37.1,64,27.4,2.46,Foggy
2025-04-03,Toronto,27.4,22,5.2,1.05,Windy
2025-04-04,Toronto,40.5,30,38.6,0.0,Stormy
2025-04-05,Toronto,34.3,54,17.6,5.24,Sunny
2025-04-06,Toronto,25.8,60,37.3,1.95,Foggy
2025-04-07,Toronto,41.6,50,28.0,9.2,Foggy
2025-04-08,Toronto,37.8,50,4.2,1.37,Rainy
2025-04-09,Toronto,27.0,37,19.9,0.0,Foggy
2025-04-10,Toronto,11.5,88,37.7,0.23,Sunny
2025-04-11,Toronto,23.1,32,11.9,4.6,Sunny
2025-04-12,Toronto,25.5,40,2.8,0.0,Cloudy
2025-04-13,Toronto,37.5,79,33.9,8.52,Rainy
2025-04-14,Toronto,37.3,34,37.0,1.68,Stormy
2025-04-15,Toronto,32.8,69,39.2,8.58,Stormy
2025-04-16,Toronto,44.4,62,20.1,4.08,Stormy
2025-04-17,Toronto,27.1,24,12.8,1.55,Cloudy
2025-04-18,Toronto,14.6,49,19.5,3.9,Windy
2025-04-19,Toronto,42.4,50,0.1,3.61,Sunny
2025-04-20,Toronto,11.4,41,14.6,3.48,Windy
2025-04-21,Toronto,44.5,86,39.1,4.47,Foggy
2025-04-22,Toronto,35.8,69,3.1,0.0,Cloudy
2025-04-23,Toronto,38.1,72,9.5,12.13,Windy
2025-04-24,Toronto,25.2,22,35.2,8.3,Rainy
2025-04-25,Toronto,14.6,62,39.2,0.0,Stormy
2025-04-26,Toronto,18.6,53,9.1,0.67,Windy
2025-04-27,Toronto,34.3,75,2.2,0.0,Partly Cloudy
2025-04-28,Toronto,14.5,63,29.8,0.0,Partly Cloudy
2025-04-29,Toronto,42.1,84,24.3,5.3,Rainy
2025-04-30,Toronto,44.5,76,28.0,5.58,Foggy
2025-05-01,Toronto,25.0,63,38.3,0.0,Cloudy
2025-05-02,Toronto,35.0,73,27.5,7.45,Partly Cloudy
2025-05-03,Toronto,21.7,50,26.7,8.6,Sunny
2025-05-04,Toronto,14.3,39,26.5,2.02,Rainy
2025-05-05,Toronto,11.1,56,34.5,0.0,Rainy
2025-05-06,Toronto,20.1,63,9.7,0.0,Sunny
2025-05-07,Toronto,37.6,69,34.9,0.51,Rainy
2025-05-08,Toronto,33.0,86,8.0,0.0,Rainy
2025-05-09,Toronto,33.4,32,2.9,0.0,Partly Cloudy
2025-05-10,Toronto,25.6,48,16.5,0.0,Foggy
2025-05-11,Toronto,44.4,23,22.5,2.56,Stormy
2025-05-12,Toronto,8.3,37,33.1,0.0,Windy
2025-05-13,Toronto,17.6,44,12.2,1.23,Windy
2025-05-14,Toronto,38.6,82,13.4,0.0,Partly Cloudy
2025-05-15,Toronto,32.5,86,39.4,4.69,Stormy
2025-05-16,Toronto,28.4,30,15.8,8.79,Foggy
2025-05-17,Toronto,24.0,43,18.4,4.78,Stormy
2025-05-18,Toronto,6.3,67,16.3,0.0,Foggy
2025-05-19,Toronto,23.3,23,40.0,0.0,Rainy
2025-05-20,Toronto,33.7,77,7.1,3.35,Partly Cloudy
2025-05-21,Toronto,5.5,21,24.1,0.0,Foggy
2025-05-22,Toronto,44.1,48,13.7,2.97,Stormy
2025-05-23,Toronto,44.3,76,5.7,0.0,Sunny
2025-05-24,Toronto,8.5,47,31.0,8.73,Stormy
2025-05-25,Toronto,41.1,28,35.3,1.74,Sunny
2025-05-26,Toronto,18.4,30,10.9,0.23,Cloudy
2025-05-27,Toronto,32.2,92,35.2,2.53,Stormy
2025-05-28,Toronto,23.2,95,20.2,9.37,Rainy
2025-05-29,Toronto,19.5,59,40.0,10.29,Stormy
2025-05-30,Toronto,28.3,82,14.9,5.51,Windy
2025-05-31,Toronto,12.9,60,33.0,4.69,Windy
2025-06-01,Toronto,22.1,30,29.3,0.0,Foggy
2025-06-02,Toronto,43.9,25,31.1,0.04,Windy
2025-06-03,Toronto,12.5,51,37.7,0.9,Sunny
2025-06-04,Toronto,23.4,45,19.9,0.0,Rainy
2025-06-05,Toronto,27.9,82,12.9,9.39,Stormy
2025-06-06,Toronto,5.7,79,23.9,7.44,Cloudy
2025-06-07,Toronto,21.5,91,14.4,0.0,Foggy
2025-06-08,Toronto,37.2,90,6.1,1.21,Cloudy
2025-06-09,Toronto,22.2,34,19.9,7.49,Rainy
2025-06-10,Toronto,27.9,95,5.7,0.0,Stormy
2025-06-11,Toronto,39.0,68,33.2,6.55,Windy
2025-06-12,Toronto,5.7,53,34.8,0.0,Foggy
2025-06-13,Toronto,28.4,54,11.4,0.0,Windy
2025-06-14,Toronto,27.7,85,20.3,0.0,Windy
2025-06-15,Toronto,27.9,67,23.7,4.5,Windy
2025-06-16,Toronto,31.8,92,37.4,1.12,Stormy
2025-06-17,Toronto,29.1,66,37.0,8.27,Foggy
2025-06-18,Toronto,38.2,80,25.4,0.0,Rainy
2025-06-19,Toronto,42.5,36,20.5,2.91,Sunny
2025-06-20,Toronto,24.1,57,15.4,4.37,Sunny
2025-06-21,Toronto,28.4,87,3.9,1.64,Stormy
2025-06-22,Toronto,42.9,92,27.3,0.0,Foggy
